A dtype,B dtype,out dtype,A value,B value,out value,details
kINT8,kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation SUM has incompatible input types Int8 and Bool,,,
kINT8,kBOOL,kHALF,,,,
kINT8,kBOOL,kINT8,,,,
kINT8,kBOOL,kINT32,,,,
kINT8,kBOOL,kBOOL,,,,
,,,,,,
kINT32,kINT32,kFLOAT,"1, 2, 3, 4","1, 2, 3, 4","2
4
6
8",
kINT32,kINT32,kHALF,,,"2
4
6
8",
kINT32,kINT32,kINT8,,,"4
8
12
16",
kINT32,kINT32,kINT32,,,"2
4
6
8",
kINT32,kINT32,kBOOL,,,"1
1
1
1",
,,,,,,
kINT32,kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation SUM has incompatible input types Int32 and Bool,,,
kINT32,kBOOL,kHALF,,,,
kINT32,kBOOL,kINT8,,,,
kINT32,kBOOL,kINT32,,,,
kINT32,kBOOL,kBOOL,,,,
,,,,,,
kBOOL,kBOOL,kFLOAT,[E] [TRT] (Unnamed Layer* 0) [ElementWise]: operation SUM requires inputs with activation or Int32 type.,,,
kBOOL,kBOOL,kHALF,,,,
kBOOL,kBOOL,kINT8,,,,
kBOOL,kBOOL,kINT32,,,,
kBOOL,kBOOL,kBOOL,,,,
